Date,Maximum,Minimum,Average,Volatility
20200619,47540,47520,47530,380
20200622,47970,47950,47960,430
20200623,47990,47970,47980,20
20200624,48230,48210,48220,240
20200629,48780,48760,48770,550
20200630,49030,49010,49020,250
20200701,49470,49450,49460,440
20200702,49600,49580,49590,130
20200703,49490,49470,49480,-110
20200706,49160,49140,49150,-330
20200707,49730,49710,49720,570
20200708,49940,49920,49930,210
20200709,50690,50670,50680,750
20200710,50730,50710,50720,40
20200713,53410,53390,53400,2680
20200714,52210,52190,52200,-1200
20200715,52560,52540,52550,350
20200716,51310,51290,51300,-1250
20200717,51770,51750,51760,460
20200720,51380,51360,51370,-390
20200721,51950,51930,51940,570
20200722,52610,52590,52600,660
20200723,52030,51990,52010,-590
20200724,52070,52030,52050,40
20200727,51790,51770,51780,-270
20200728,52040,52020,52030,250
20200729,51910,51890,51900,-130
20200730,51920,51900,51910,10
20200731,51960,51940,51950,40
20200803,50980,50960,50970,-980
20200804,51810,51790,51800,830
20200805,51440,51420,51430,-370
20200806,51500,51480,51490,60
20200807,51570,51550,51560,70
20200810,50210,50190,50200,-1360
20200811,50900,50880,50890,690
20200812,50120,50100,50110,-780
20200813,50590,50570,50580,470
20200814,50150,50130,50140,-440
20200817,50470,50450,50460,320
20200818,51200,51180,51190,730
20200819,52380,52360,52370,1180
20200820,52270,52250,52260,-110
20200821,52140,52120,52130,-130
20200824,51410,51390,51400,-730
20200825,51460,51440,51450,50
20200826,51480,51460,51470,20
20200827,51500,51480,51490,20
20200828,51830,51810,51820,330
20200831,52040,52020,52030,210
20200901,52410,52390,52400,370
20200902,52020,51920,51970,-430
20200903,52200,52160,52180,210
20200904,51560,51540,51550,-630
20200907,52700,52680,52690,1140
20200908,52610,52590,52600,-90
20200909,52180,52160,52170,-430
20200910,52220,52200,52210,40
20200911,51630,51610,51620,-590
20200914,52540,52520,52530,910
20200915,52270,52250,52260,-270
20200916,52050,52030,52040,-220
20200917,51570,51550,51560,-480
20200918,52320,52300,52310,750
20200921,52560,52540,52550,240
20200922,52000,51980,51990,-560
20200923,51750,51730,51740,-250
20200924,50860,50840,50850,-890
20200925,50900,50880,50890,40
20200928,51080,51060,51070,180
20200929,51180,51160,51170,100
20200930,51300,51280,51290,120
20201009,51610,51570,51590,300
20201012,51650,51630,51640,50
20201013,51610,51590,51600,-40
20201014,51560,51540,51550,-50
20201015,51480,51460,51470,-80
20201016,51880,51860,51870,400
20201019,51650,51630,51640,-230
20201020,51530,51510,51520,-120
20201021,52360,52340,52350,830
20201022,52440,52420,52430,80
20201023,52260,52240,52250,-180
20201026,52030,52010,52020,-230
20201027,51610,51590,51600,-420
20201028,51790,51770,51780,180
20201029,51650,51630,51640,-140
20201030,51600,51580,51590,-50
