"Date","Open","High","Low","Close","Change","Change%"
"2020/07/06","1.1244","1.1345","1.1242","1.1310","0.0064","0.57"
"2020/07/03","1.1240","1.1253","1.1217","1.1246","0.0008","0.07"
"2020/07/02","1.1251","1.1302","1.1221","1.1238","-0.0011","-0.10"
"2020/07/01","1.1233","1.1274","1.1183","1.1249","0.0018","0.16"
"2020/06/30","1.1242","1.1261","1.1189","1.1231","-0.0009","-0.08"
"2020/06/29","1.1220","1.1288","1.1217","1.1240","0.0021","0.19"
"2020/06/26","1.1217","1.1239","1.1193","1.1219","0.0005","0.04"
"2020/06/25","1.1252","1.1260","1.1189","1.1214","-0.0039","-0.35"
"2020/06/24","1.1310","1.1325","1.1247","1.1253","-0.0054","-0.48"
"2020/06/23","1.1264","1.1348","1.1231","1.1307","0.0048","0.43"
"2020/06/22","1.1175","1.1269","1.1167","1.1259","0.0084","0.75"
"2020/06/19","1.1206","1.1254","1.1167","1.1175","-0.0027","-0.24"
"2020/06/18","1.1241","1.1262","1.1184","1.1202","-0.0039","-0.35"
"2020/06/17","1.1258","1.1294","1.1205","1.1241","-0.0020","-0.18"
"2020/06/16","1.1326","1.1352","1.1226","1.1261","-0.0062","-0.55"
"2020/06/15","1.1226","1.1333","1.1225","1.1323","0.0069","0.61"
"2020/06/12","1.1290","1.1340","1.1211","1.1254","-0.0037","-0.33"
"2020/06/11","1.1379","1.1403","1.1286","1.1291","-0.0083","-0.73"
"2020/06/10","1.1338","1.1422","1.1321","1.1374","0.0038","0.34"
"2020/06/09","1.1292","1.1364","1.1239","1.1336","0.0046","0.41"
"2020/06/08","1.1299","1.1319","1.1266","1.1290","0.0006","0.05"
"2020/06/05","1.1335","1.1383","1.1277","1.1284","-0.0051","-0.45"
"2020/06/04","1.1234","1.1361","1.1193","1.1335","0.0101","0.90"
"2020/06/03","1.1167","1.1256","1.1165","1.1234","0.0066","0.59"
"2020/06/02","1.1133","1.1195","1.1113","1.1168","0.0040","0.36"
"2020/06/01","1.1104","1.1153","1.1099","1.1128","0.0030","0.27"
"2020/05/29","1.1075","1.1144","1.1068","1.1098","0.0020","0.18"
"2020/05/28","1.1007","1.1093","1.0990","1.1078","0.0074","0.67"
"2020/05/27","1.0981","1.1030","1.0932","1.1004","0.0026","0.24"
"2020/05/26","1.0894","1.0995","1.0890","1.0978","0.0086","0.79"
"2020/05/25","1.0898","1.0914","1.0869","1.0892","-0.0008","-0.07"
"2020/05/22","1.0949","1.0959","1.0884","1.0900","-0.0046","-0.42"
"2020/05/21","1.0979","1.1008","1.0935","1.0946","-0.0033","-0.30"
"2020/05/20","1.0919","1.0999","1.0916","1.0979","0.0059","0.54"
"2020/05/19","1.0915","1.0976","1.0900","1.0920","0.0007","0.06"
"2020/05/18","1.0817","1.0926","1.0798","1.0913","0.0098","0.91"
"2020/05/15","1.0805","1.0849","1.0787","1.0815","0.0010","0.09"
"2020/05/14","1.0819","1.0824","1.0773","1.0805","-0.0015","-0.14"
"2020/05/13","1.0847","1.0895","1.0810","1.0820","-0.0027","-0.25"
"2020/05/12","1.0807","1.0884","1.0783","1.0847","0.0041","0.38"
"2020/05/11","1.0832","1.0850","1.0799","1.0806","-0.0034","-0.31"
"2020/05/08","1.0835","1.0875","1.0813","1.0840","0.0009","0.08"
"2020/05/07","1.0795","1.0837","1.0765","1.0831","0.0035","0.32"
"2020/05/06","1.0838","1.0843","1.0780","1.0796","-0.0043","-0.40"
"2020/05/05","1.0901","1.0925","1.0824","1.0839","-0.0060","-0.55"
"2020/05/04","1.0967","1.0969","1.0894","1.0899","-0.0084","-0.76"
"2020/05/01","1.0946","1.1017","1.0933","1.0983","0.0034","0.31"
"2020/04/30","1.0876","1.0970","1.0831","1.0949","0.0075","0.69"
"2020/04/29","1.0822","1.0885","1.0817","1.0874","0.0053","0.49"
